2017-11-13 05:18:49 | -=< Temperature Logger Restart >=-
2017-11-13 13:57:56 | TEMPLOG : WellhouseOne | 053.600
2017-11-13 14:00:59 | TEMPLOG : WellhouseOne | 053.600
2017-11-13 14:00:59 | TEMPLOG : To   GeoLoop | 068.000
2017-11-13 14:00:59 | TEMPLOG : Table    One | 058.100
2017-11-13 14:09:07 | TEMPLOG : To   GeoLoop | 067.100
2017-11-13 14:10:08 | TEMPLOG : To   GeoLoop | 068.000
2017-11-13 14:11:09 | TEMPLOG : To   GeoLoop | 067.100
2017-11-13 14:18:16 | TEMPLOG : To   GeoLoop | 068.000
2017-11-13 14:32:31 | TEMPLOG : To   GeoLoop | 067.100
2017-11-13 14:40:38 | TEMPLOG : WellhouseOne | 054.500
2017-11-13 14:42:39 | TEMPLOG : To   GeoLoop | 066.200
2017-11-13 14:48:47 | TEMPLOG : To   GeoLoop | 065.300
2017-11-13 14:50:49 | TEMPLOG : Table    One | 057.200
2017-11-13 14:55:55 | TEMPLOG : To   GeoLoop | 064.400
2017-11-13 15:00:00 | TEMPLOG : Table    One | 057.200
2017-11-13 15:05:04 | TEMPLOG : To   GeoLoop | 063.500
2017-11-13 15:08:08 | TEMPLOG : Table    One | 056.300
2017-11-13 15:20:18 | TEMPLOG : WellhouseOne | 053.600
2017-11-13 15:26:23 | TEMPLOG : To   GeoLoop | 064.400
2017-11-13 15:28:24 | TEMPLOG : To   GeoLoop | 063.500
2017-11-13 16:00:54 | TEMPLOG : WellhouseOne | 053.600
2017-11-13 16:00:55 | TEMPLOG : To   GeoLoop | 063.500
2017-11-13 16:00:55 | TEMPLOG : Table    One | 056.300
2017-11-13 16:01:56 | TEMPLOG : To   GeoLoop | 062.600
2017-11-13 16:23:20 | TEMPLOG : Table    One | 055.400
2017-11-13 16:31:28 | TEMPLOG : To   GeoLoop | 061.700
2017-11-13 16:39:37 | TEMPLOG : WellhouseOne | 052.700
2017-11-13 16:42:41 | TEMPLOG : Table    One | 054.500
2017-11-13 16:50:49 | TEMPLOG : To   GeoLoop | 060.800
2017-11-13 17:00:59 | TEMPLOG : WellhouseOne | 052.700
2017-11-13 17:00:59 | TEMPLOG : To   GeoLoop | 060.800
2017-11-13 17:00:59 | TEMPLOG : Table    One | 054.500
2017-11-13 17:04:02 | TEMPLOG : Table    One | 053.600
2017-11-13 17:09:07 | TEMPLOG : WellhouseOne | 051.800
2017-11-13 17:11:10 | TEMPLOG : To   GeoLoop | 059.900
2017-11-13 17:34:36 | TEMPLOG : Table    One | 052.700
2017-11-13 17:37:38 | TEMPLOG : To   GeoLoop | 059.000
2017-11-13 17:38:39 | TEMPLOG : To   GeoLoop | 059.900
2017-11-13 17:39:40 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 17:39:40 | TEMPLOG : To   GeoLoop | 059.000
2017-11-13 17:56:59 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 18:00:01 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 18:00:02 | TEMPLOG : To   GeoLoop | 059.000
2017-11-13 18:00:02 | TEMPLOG : Table    One | 052.700
2017-11-13 18:11:12 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 18:14:17 | TEMPLOG : Table    One | 051.800
2017-11-13 18:15:18 | TEMPLOG : Table    One | 052.700
2017-11-13 18:16:18 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 18:17:18 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 18:18:19 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 18:18:20 | TEMPLOG : To   GeoLoop | 058.100
2017-11-13 18:19:21 | TEMPLOG : Table    One | 051.800
2017-11-13 18:20:22 | TEMPLOG : Table    One | 052.700
2017-11-13 18:26:27 | TEMPLOG : Table    One | 051.800
2017-11-13 18:29:29 | TEMPLOG : Table    One | 052.700
2017-11-13 18:30:30 | TEMPLOG : Table    One | 051.800
2017-11-13 18:32:32 | TEMPLOG : Table    One | 052.700
2017-11-13 18:36:36 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 18:38:38 | TEMPLOG : Table    One | 051.800
2017-11-13 18:39:38 | TEMPLOG : Table    One | 052.700
2017-11-13 18:40:40 | TEMPLOG : Table    One | 051.800
